round,action,predicted_effective_fidelity,F_before,F_after,channel_available,purified
218,HALT,0.6336521506309509,0.6524987789195896,,True,False
219,HALT,0.6448636054992676,0.0,,False,False
220,HALT,0.64017653465271,0.0,,False,False
221,HALT,0.630218505859375,0.0,,False,False
222,HALT,0.6484452486038208,0.6677981673509201,,True,False
223,PURIFY,0.6514090299606323,0.6621041806390355,0.6929273586019676,True,True
224,PURIFY,0.6579732894897461,0.6632986702744676,0.6942871699251411,True,True
225,HALT,0.6488069295883179,0.658633824270174,,True,False
226,HALT,0.6492242813110352,0.6563377013096866,,True,False
227,PURIFY,0.6527474522590637,0.0,,False,False
228,HALT,0.6471332907676697,0.6557687653981218,,True,False
229,PURIFY,0.6575841903686523,0.6646807063563651,0.6958586157882453,True,True
230,HALT,0.6435204744338989,0.6525100911201472,,True,False
231,PURIFY,0.6532899141311646,0.658932877411541,0.689309945465385,True,True
232,HALT,0.6499695777893066,0.0,,False,False
233,PURIFY,0.6519071459770203,0.0,,False,False
234,HALT,0.6467443704605103,0.0,,False,False
235,HALT,0.6377518177032471,0.6548391598229019,,True,False
236,HALT,0.6440595984458923,0.0,,False,False
237,HALT,0.644076406955719,0.0,,False,False
238,PURIFY,0.6520707011222839,0.0,,False,False
239,PURIFY,0.6505419015884399,0.0,,False,False
240,HALT,0.6397542953491211,0.650921779822465,,True,False
241,HALT,0.641105592250824,0.6568259287194875,,True,False
242,HALT,0.6473196744918823,0.0,,False,False
243,HALT,0.6471217274665833,0.0,,False,False
244,HALT,0.6464611291885376,0.0,,False,False
245,HALT,0.6304129362106323,0.6379178791461804,,True,False
246,HALT,0.6334778070449829,0.6418818787370165,,True,False
247,HALT,0.6180832386016846,0.6121972587803846,,True,False
248,HALT,0.6280604004859924,0.6243274974641362,,True,False
249,HALT,0.6206260919570923,0.0,,False,False
250,HALT,0.6197667121887207,0.623090672625437,,True,False
251,HALT,0.6256103515625,0.6349452960364608,,True,False
252,HALT,0.6312013268470764,0.6434712076379179,,True,False
253,HALT,0.627305269241333,0.0,,False,False
254,HALT,0.6319661736488342,0.0,,False,False
255,PURIFY,0.6501705050468445,0.6571941382346053,0.6873222339590566,True,True
256,PURIFY,0.658711850643158,0.6709162878541399,0.7029234636799531,True,True
257,HALT,0.6447489261627197,0.0,,False,False
258,HALT,0.6442904472351074,0.6605230347908966,,True,False
259,PURIFY,0.6619139909744263,0.6742268695151142,0.7066571470017886,True,True
260,HALT,0.6499584317207336,0.0,,False,False
261,HALT,0.6334028244018555,0.654027135096777,,True,False
262,HALT,0.6406857371330261,0.0,,False,False
263,HALT,0.6334623098373413,0.6559047585601034,,True,False
264,HALT,0.6328240633010864,0.6482846404134608,,True,False
265,HALT,0.6410627961158752,0.0,,False,False
266,HALT,0.6176086664199829,0.0,,False,False
267,HALT,0.6427006721496582,0.675856576260766,,True,False
268,PURIFY,0.6530104279518127,0.0,,False,False
269,HALT,0.6414012312889099,0.6737622245785222,,True,False
270,HALT,0.6286545395851135,0.6558667508981222,,True,False
271,HALT,0.6394948959350586,0.0,,False,False
272,HALT,0.6478786468505859,0.6839805670397564,,True,False
273,PURIFY,0.6635160446166992,0.6899064768670492,0.7241722825917457,True,True
274,PURIFY,0.669075071811676,0.6948995413348905,0.7296894493662097,True,True
275,PURIFY,0.6608420014381409,0.0,,False,False
276,PURIFY,0.6743876338005066,0.6909683230426965,0.725348084869021,True,True
277,PURIFY,0.6604291796684265,0.0,,False,False
278,PURIFY,0.6629319787025452,0.0,,False,False
279,PURIFY,0.663362979888916,0.6886123606224592,0.7227374732628349,True,True
280,PURIFY,0.6690017580986023,0.694105731526533,0.72881431938923,True,True
281,PURIFY,0.6659770011901855,0.695871781384155,0.730760249126473,True,True
282,PURIFY,0.6561712026596069,0.6862510559387606,0.7201143609519353,True,True
283,PURIFY,0.6594130396842957,0.0,,False,False
284,PURIFY,0.664262056350708,0.6823580268722088,0.7157754767537806,True,True
285,PURIFY,0.6589648723602295,0.0,,False,False
286,PURIFY,0.6733261942863464,0.6806470106384325,0.7138629661898004,True,True
287,PURIFY,0.6615138649940491,0.0,,False,False
288,HALT,0.6466783285140991,0.0,,False,False
