c_inference_J,c_qpu_J,c_failure_J,c_fidelity_purify_J,benefit_purify_J,c_latency_wait_J,c_energy_memory_wait_J,c_missed_opportunity_halt_J,p_good,c_inference_J_norm,c_qpu_J_norm,c_failure_J_norm,c_fidelity_purify_J_norm,benefit_purify_J_norm,c_latency_wait_J_norm,c_energy_memory_wait_J_norm,c_missed_opportunity_halt_J_norm
5e-05,9.999999999999999e-06,7.047882429119392e-07,1.486319161262268e-06,2.52280139789622e-05,1e-09,1e-08,2.52280139789622e-05,0.504560279579244,0.0,0.0,0.03104878102783415,0.4488560010874014,0.5511439989125992,0.0,0.0,0.5511439989125992
5e-05,9.999999999999999e-06,7.038237584729105e-07,1.4855873065212108e-06,2.524021155797982e-05,1e-09,1e-08,2.524021155797982e-05,0.5048042311595964,0.0,0.0,0.020524119373851197,0.429506554074257,0.5704934459257415,0.0,0.0,0.5704934459257415
5e-05,9.999999999999999e-06,7.047327104335181e-07,1.4855938836246169e-06,2.5240101939589723e-05,1e-09,1e-08,2.5240101939589723e-05,0.5048020387917944,0.0,0.0,0.030442798678572188,0.42968044556763046,0.5703195544323749,0.0,0.0,0.5703195544323749
5e-05,9.999999999999999e-06,7.038358685676686e-07,1.4842469647529458e-06,2.5262550587450906e-05,1e-09,1e-08,2.5262550587450906e-05,0.5052510117490181,0.0,0.0,0.02065626733266634,0.394069368838451,0.6059306311615518,0.0,0.0,0.6059306311615518
5e-05,9.999999999999999e-06,7.033166424383177e-07,1.4844616958433386e-06,2.525897173594436e-05,1e-09,1e-08,2.525897173594436e-05,0.5051794347188872,0.0,0.0,0.014990360126502346,0.39974662639044545,0.6002533736095584,0.0,0.0,0.6002533736095584
5e-05,9.999999999999999e-06,7.031295231067247e-07,1.4841405608492525e-06,2.5264323985845795e-05,1e-09,1e-08,2.5264323985845795e-05,0.5052864797169159,0.0,0.0,0.012948473731820365,0.3912561648226759,0.6087438351773269,0.0,0.0,0.6087438351773269
5e-05,9.999999999999999e-06,7.035551967744595e-07,1.4843789160796295e-06,2.5260351398672844e-05,1e-09,1e-08,2.5260351398672844e-05,0.5052070279734568,0.0,0.0,0.017593516354208763,0.397558019059246,0.6024419809407544,0.0,0.0,0.6024419809407544
5e-05,9.999999999999999e-06,7.098041675596139e-07,1.4777954967443654e-06,2.537007505426058e-05,1e-09,1e-08,2.537007505426058e-05,0.5074015010852115,0.0,0.0,0.08578362968108241,0.22349953935468092,0.7765004606453217,0.0,0.0,0.7765004606453217
5e-05,9.999999999999999e-06,7.021780355013649e-07,1.4834800327750244e-06,2.527533278708293e-05,1e-09,1e-08,2.527533278708293e-05,0.5055066557416585,0.0,0.0,0.0025656363223800593,0.37379251765888666,0.6262074823411159,0.0,0.0,0.6262074823411159
5e-05,9.999999999999999e-06,7.039053238285646e-07,1.4804719230466393e-06,2.532546794922268e-05,1e-09,1e-08,2.532546794922268e-05,0.5065093589844536,0.0,0.0,0.02141417807900897,0.2942613531616423,0.7057386468383605,0.0,0.0,0.7057386468383605
5e-05,9.999999999999999e-06,7.12453202369943e-07,1.4947326151485345e-06,2.5087789747524425e-05,1e-09,1e-08,2.5087789747524425e-05,0.5017557949504885,0.0,0.0,0.1146904673242222,0.6712986130388792,0.32870138696111967,0.0,0.0,0.32870138696111967
5e-05,9.999999999999999e-06,7.128064660207656e-07,1.4958580768934655e-06,2.5069032051775578e-05,1e-09,1e-08,2.5069032051775578e-05,0.5013806410355115,0.0,0.0,0.11854535626706733,0.7010546030969657,0.2989453969030363,0.0,0.0,0.2989453969030363
5e-05,9.999999999999999e-06,7.05460349938221e-07,1.4836122669490897e-06,2.527312888418184e-05,1e-09,1e-08,2.527312888418184e-05,0.5054625776836368,0.0,0.0,0.0383829574651487,0.37728864605822926,0.6227113539417733,0.0,0.0,0.6227113539417733
5e-05,9.999999999999999e-06,7.102944989257795e-07,1.4877189648383228e-06,2.5204683919361287e-05,1e-09,1e-08,2.5204683919361287e-05,0.5040936783872257,0.0,0.0,0.09113423101626417,0.48586529214501406,0.5141347078549852,0.0,0.0,0.5141347078549852
5e-05,9.999999999999999e-06,7.033753377808252e-07,1.4841762042461753e-06,2.5263729929230413e-05,1e-09,1e-08,2.5263729929230413e-05,0.5052745985846082,0.0,0.0,0.015630856328989817,0.3921985376480954,0.6078014623519047,0.0,0.0,0.6078014623519047
5e-05,9.999999999999999e-06,7.099907973950634e-07,1.4802623448142988e-06,2.532896091976169e-05,1e-09,1e-08,2.532896091976169e-05,0.5065792183952338,0.0,0.0,0.08782017458855988,0.28872033159782295,0.7112796684021816,0.0,0.0,0.7112796684021816
5e-05,9.999999999999999e-06,7.039643933126678e-07,1.4831560264558882e-06,2.5280732892401866e-05,1e-09,1e-08,2.5280732892401866e-05,0.5056146578480373,0.0,0.0,0.022058756995063638,0.36522614136542425,0.6347738586345768,0.0,0.0,0.6347738586345768
