F_before,F_after,delta_F,success_probability,purification_gain,resource_cost_pairs,useful
0.671688932444244,0.7037959323310818,0.03210699988683785,0.6580636051075253,0.03210699988683785,2,True
0.6781868026406815,0.7111071789493157,0.0329203763086342,0.6629723892939107,0.0329203763086342,2,True
0.698127112153632,0.7332397835774014,0.03511267142376939,0.6785048076863588,0.03511267142376939,2,True
0.6665055450838323,0.6979304547806475,0.03142490969681522,0.6542016614094043,0.03142490969681522,2,True
0.6739674244743554,0.7063649809033966,0.032397556429041185,0.6597763351248159,0.032397556429041185,2,True
0.6714341393525441,0.7035082927046542,0.03207415335211006,0.6578726522771728,0.03207415335211006,2,True
0.6718046193774612,0.7039265095057338,0.0321218901282726,0.6581503439361464,0.0321218901282726,2,True
0.6627026824273453,0.6936088817494408,0.030906199322095484,0.6513986702957565,0.030906199322095484,2,True
0.6635036317077363,0.6945203485336824,0.03101671682594609,0.6519868919426551,0.03101671682594609,2,True
0.6619248549488715,0.6927230849315059,0.030798229982634373,0.6508285209996877,0.030798229982634373,2,True
0.666485792314425,0.6979080473555935,0.03142225504116858,0.6541870357331324,0.03142225504116858,2,True
0.6685476176395397,0.7002447142642942,0.031697096624754506,0.6557174295393191,0.031697096624754506,2,True
0.6747778517543978,0.7072773709061043,0.03249951915170657,0.6603877540809607,0.03249951915170657,2,True
0.6719345366969561,0.7040731311816688,0.03213859448471268,0.6582477806734887,0.03213859448471268,2,True
0.6745060853455628,0.7069714939094227,0.03246540856385993,0.6601825924403678,0.03246540856385993,2,True
0.680467825093474,0.7136624852394895,0.033194660146015464,0.6647133763917382,0.033194660146015464,2,True
0.6850227479438934,0.71874728107074,0.033724533126846645,0.6682175922032497,0.033724533126846645,2,True
0.680800841960089,0.714035050406028,0.03323420844593894,0.6649683248297967,0.03323420844593894,2,True
0.6762633014213517,0.7089478108394409,0.0326845094180892,0.6615114685676711,0.0326845094180892,2,True
0.6661843869480956,0.6975660832437411,0.03138169629564558,0.6539639501683215,0.03138169629564558,2,True
0.6646783795865427,0.6958559718246046,0.031177592238061824,0.6528516964413517,0.031177592238061824,2,True
0.6684933620715076,0.7001832849744247,0.03168992290291717,0.6556770614203676,0.03168992290291717,2,True
0.6653638012132732,0.6966345848218302,0.03127078360855695,0.6533574109851904,0.03127078360855695,2,True
0.6527327087610192,0.6822080264384348,0.029475317677415624,0.6441721197386557,0.029475317677415624,2,True
0.6706427161289155,0.7026143906531482,0.031971674524232774,0.6572802618953876,0.031971674524232774,2,True
0.6689807431758379,0.700734994097537,0.031754250921699145,0.6560398783574909,0.031754250921699145,2,True
0.66611869167369,0.6974915347981467,0.03137284312445676,0.653915347164643,0.03137284312445676,2,True
0.6682510216294992,0.6999088632968383,0.03165784166733909,0.655496815194773,0.03165784166733909,2,True
0.6581648666967692,0.6884323420869807,0.030267475390211462,0.6480876074716365,0.030267475390211462,2,True
0.6571430475690574,0.6872637810642049,0.030120733495147545,0.6473470766078395,0.030120733495147545,2,True
0.6612272606451932,0.6919281223314165,0.030700861686223324,0.6503180976868884,0.030700861686223324,2,True
0.6564433686390289,0.6864630117660369,0.030019643127008,0.6468410772539034,0.030019643127008,2,True
0.6592848891722598,0.6897119865071588,0.03042709733489901,0.6489014404486656,0.03042709733489901,2,True
0.6622383863713017,0.6930802132471435,0.030841826875841805,0.6510582108426795,0.030841826875841805,2,True
0.6694991885356102,0.7013215855750699,0.03182239703945966,0.6564262837173646,0.03182239703945966,2,True
0.6546967187700754,0.6844618531316755,0.02976513436160011,0.6455817192740135,0.02976513436160011,2,True
