round,F_left,left_available,F_right,right_available,F_swapped,swap_success
290,0.0,0.0,0.7099457893657827,1.0,0.0,False
291,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
292,0.0,0.0,0.7099457893657827,1.0,0.0,False
293,0.7099457893657827,1.0,0.7099457893657827,1.0,0.5320668439787063,True
294,0.0,0.0,0.7099457893657827,1.0,0.0,False
295,0.0,0.0,0.0,0.0,0.0,False
296,0.0,0.0,0.7099457893657827,1.0,0.0,False
297,0.0,0.0,0.7099457893657827,1.0,0.0,False
298,0.0,0.0,0.0,0.0,0.0,False
299,0.7099457893657827,1.0,0.0,0.0,0.0,False
