experiment_id,timestamp,git_commit,seed,config_hash,dataset_version,dataset_hash,model,controller,horizon,feature_set,physics_engine,realism_level,MAE,RMSE,R2,coverage,interval_width,fidelity,useful_pairs,QPU_operations,purification_count,false_purification,missed_opportunities,latency,memory,energy,source_experiment,notes
20260821T114609Z_814d3e94,2026-08-21T11:46:09.530671+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.020352,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_15d7c7a7,2026-08-21T11:46:09.532983+00:00,NOT_A_GIT_REPOSITORY,42.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.018471,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_ba5d5313,2026-08-21T11:46:09.535275+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.018179,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_340f22a8,2026-08-21T11:46:09.537570+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.021424,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_976184e4,2026-08-21T11:46:09.539837+00:00,NOT_A_GIT_REPOSITORY,123.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.020893,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_e4962dad,2026-08-21T11:46:09.542182+00:00,NOT_A_GIT_REPOSITORY,7.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.024066,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_3c8decb9,2026-08-21T11:46:09.544528+00:00,NOT_A_GIT_REPOSITORY,7.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.023247,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_fc5e8668,2026-08-21T11:46:09.546855+00:00,NOT_A_GIT_REPOSITORY,7.0,,v3-causal,,DualHead,DualHead,,"full (WDM+T1+T2, oracle)",ReferenceEngine (Aer),L1-stochastic,0.021947,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_410cf462,2026-08-21T11:46:09.549135+00:00,NOT_A_GIT_REPOSITORY,2024.0,,v3-causal,,DualHead,DualHead,,WDM-only,ReferenceEngine (Aer),L1-stochastic,0.0126,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
20260821T114609Z_da702490,2026-08-21T11:46:09.551427+00:00,NOT_A_GIT_REPOSITORY,2024.0,,v3-causal,,DualHead,DualHead,,privileged-only (T1+T2),ReferenceEngine (Aer),L1-stochastic,0.019321,,,,,,,,,,,,,,wdm_vs_privileged_10seed,
